BJD,Flux,EAPFlux,Err,Flag,Spline
2457240.980676,12093.463,11952.077,6.242000000000001,0,0.957297
2457241.001108,11415.027,11250.628,6.215,0,0.957342
2457241.02154,11319.358,11136.475,6.195,0,0.9573860000000001
2457241.041972,10761.044,10560.746000000001,6.1739999999999995,0,0.9574299999999999
2457246.088636,10861.048,10668.854,6.196000000000001,0,0.96885
2457247.539294,11017.048999999999,10815.205,6.191,0,0.9730559999999999
2457249.766359,10129.931999999999,10146.184000000001,6.159,0,0.979183
2457251.155718,11093.541000000001,10895.918,6.196000000000001,0,0.982369
2457256.386243,9170.365,9293.796,6.117000000000001,0,0.9961559999999999
2457259.083228,11404.837,11174.878999999999,6.246,0,1.003862
