BJD,Flux,EAPFlux,Err,Flag,Spline
2457221.0798979998,1807.412,1844.3129999999999,4.862,0,1.020415
2457226.4126939997,1839.185,1829.4679999999998,4.864,0,1.0157260000000001
2457231.663734,1783.967,1815.4560000000001,4.873,0,1.0108059999999999
2457242.942155,1787.511,1784.6070000000002,4.895,0,1.001467
2457243.616406,1804.422,1802.1660000000002,4.899,0,1.00124
2457247.580176,1773.868,1780.1729999999998,4.9110000000000005,0,1.0003549999999999
2457267.766698,1767.754,1787.3039999999999,5.02,0,0.991799
2457268.604396,1363.155,1359.892,4.998,0,0.991727
2457269.748568,1775.9160000000002,1790.9270000000001,5.038,0,0.991647
2457273.569288,1400.058,1403.003,5.04,0,0.991411
2457291.447026,1346.987,1292.867,5.272,0,0.9919540000000001
